File Type,Last Updated,Validity of Issue
Seizure order (ASO 53/25) of the Minister of Defense,24.11.2025,23.11.2027
Seizure order (ASO 51/25) of the Minister of Defense,03.11.2025,30.10.2027
Seizure order (ASO 50/25) of the Minister of Defense,28.10.2025,23.10.2027
Seizure order (ASO 49/25) of the Minister of Defense,28.10.2025,23.10.2027
Seizure order (ASO 43/25) of the Minister of Defense,03.09.2025,01.09.2027
Annex of the Seizure Order (ASO - 43/25) - Wallet Details,03.09.2025,-
Seizure order (ASO 41/25) of the Minister of Defense,07.08.2025,31.07.2027
Seizure order (ASO 22/25) of the Minister ofDefense,30.06.2025,26.06.2027
Seizure order (ASO 20/25) of the Minister of Defense,08.06.2025,Forfeiture Order (FO 25/25)
Seizure order (ASO 19/25) of the Minister of Defense,29.09.2025,22.05.2027
Annex of the Seizure Order (ASO - 19/25) - Wallet Details,29.09.2025,-
Seizure order (ASO 16/25) of the Minister of Defense,09.04.2025,07.04.2027
Seizure order (ASO 1/25) of the Minister of Defense,05.02.2025,26.01.2027
Seizure order (ASO 34/24) of the Minister of Defense,25.12.2024,24.12.2026
Seizure order (ASO 33/24) of the Minister of Defense,26.03.2025,Forfeiture Order (FO 24/25)
Seizure order (ASO 26/24) of the Minister of Defense,25.12.2024,07.11.2026
Seizure order (ASO 5/24) of the Minister of Defense,28.03.2024,Forfeiture Order (FO 18/24)
Seizure order (ASO 2/24) of the Minister of Defense,02.04.2024,Forfeiture Order (FO 17/24)
Seizure order (ASO 60/23) of the Minister of Defense,21.12.2023,Forfeiture Order (FO 16/24)
Seizure order (ASO 56/23) of the Minister of Defense,28.03.2024,Forfeiture Order (FO 44/24)
Seizure Order (ASO 56/23) - Amendment,3.12.2024,-
Annex of the Seizure Order (ASO - 56/23) - Wallet Details,3.12.2024,-
Seizure order (ASO 55/23) of the Minister of Defense,02.11.2023,Forfeiture Order (FO 15/24)
Seizure order (ASO 53/23) of the Minister of Defense,22.10.2023,Forfeiture Order (FO 14/24)
Seizure order (ASO 51/23) of the Minister of Defense,29.10.2023,Forfeiture Order (FO 13/24)
Seizure order (ASO 34/23) of the Minister of Defense,05.07.2023,Forfeiture Order (FO 43/24)
Seizure order (ASO 29/23) of the Minister of Defense,28.06.2023,Forfeiture Order (FO 12/24)
Seizure order (ASO 19/23) of the Minister of Defense,23.04.2023,Forfeiture Order (FO 42/24)
Seizure order (ASO 15/23) of the Minister of Defense,04.04.2023,Forfeiture Order (FO 11/24)
Seizure order (ASO 5/23) of the Minister of Defense,12.01.2023,Forfeiture Order (FO 10/24)
Seizure order (ASO 1/23) of the Minister of Defense,09.02.2023,Forfeiture Order (FO 9/24)
Seizure order (ASO 15/22) of the Minister of Defense,07.03.2022,Forfeiture Order (FO 42/22)
Seizure order (ASO 10/22) of the Minister of Defense,22.2.2022,Forfeiture Order (FO 41/22)
Seizure order (ASO 79/21) of the Minister of Defense,29.12.2021,Forfeiture Order (FO 28/22)
Seizure order (ASO 44/21) of the Minister of Defense,1.7.2021,Forfeiture Order (FO 15/22)
Annex of the Seizure Order - Wallet Details,1.7.2021,-
