covered_equipment_or_services,date_of_inclusion_on_covered_list
"Telecommunications equipment produced by Huawei Technologies Company, including telecommunications or video surveillance services provided by such entity or using such equipment.","March 12, 2021"
"Telecommunications equipment produced by ZTE Corporation, including telecommunications or video surveillance services provided by such entity or using such equipment.","March 12, 2021"
"Video surveillance and telecommunications equipment produced by Hytera Communications Corporation, to the extent it is used for the purpose of public safety, security of government facilities, physical security surveillance of critical infrastructure, and other national security purposes, including telecommunications or video surveillance services provided by such entity or using such equipment.","March 12, 2021"
"Video surveillance and telecommunications equipment produced by Hangzhou Hikvision Digital Technology Company, to the extent it is used for the purpose of public safety, security of government facilities, physical security surveillance of critical infrastructure, and other national security purposes, including telecommunications or video surveillance services provided by such entity or using such equipment.","March 12, 2021"
"Video surveillance and telecommunications equipment produced by Dahua Technology Company, to the extent it is used for the purpose of public safety, security of government facilities, physical security surveillance of critical infrastructure, and other national security purposes, including telecommunications or video surveillance services provided by such entity or using such equipment.","March 12, 2021"
"Information security products, solutions, and services supplied, directly or indirectly, by AO Kaspersky Lab or any of its predecessors, successors, parents, subsidiaries, or affiliates.","March 25, 2022"
International telecommunications services provided by China Mobile International USA Inc. subject to section 214 of the Communications Act of 1934.,"March 25, 2022"
Telecommunications services provided by China Telecom (Americas) Corp. subject to section 214 of the Communications Act of 1934.,"March 25, 2022"
International telecommunications services provided by Pacific Networks Corp and its wholly-owned subsidiary ComNet (USA) LLC subject to section 214 of the Communications Act of 1934.,"September 20, 2022"
International telecommunications services provided by China Unicom (Americas) Operations Limited subject to section 214 of the Communications Act of 1934.,"September 20, 2022"
"Cybersecurity and anti-virus software produced or provided by Kaspersky Lab, Inc. or any of its successors and assignees.","July 23, 2024"
"Uncrewed aircraft systems (UAS) and UAS critical components produced in a foreign country†† —except: (a) Visit - UAS and Visit - UAS critical components included on the Defense Contract Management Agency’s (DCMA’s) Blue UAS Cleared List, until January 1, 2027,# (b) UAS and UAS critical components that qualify as “domestic end products” under the Buy American Standard, Visit - 48 CFR 25.101(a), until January 1, 2027; and (c) devices which have been granted a Conditional Approval by DoW or DHS; and (d) foreign-produced “Toy Drones,” as defined in the National Security Determination, and “Toy Drones that contain foreign-produced components. ""All communications and video surveillance equipment and services listed in Section 1709(a)(1) of the Visit - FY25 National Defense Authorization Act (Pub. L. 118-159).","December 22, 2025Updated:January 7, 2026Updated:March 18, 2026Updated:June 15, 2026"
"Routers^ produced in a foreign country, except routers which have been granted a Conditional Approval by DoW or DHS.","March 23, 2026"
"International telecommunications services provided by Digitalsystem Technology Inc., subject to section 214 of the Communications Act of 1934.","July 7, 2026"
